inspirat	maxp	baby
3.9	14.6	1
5.1	16.2	1
3.7	21.6	1
3.5	13.9	1
4.6	16.9	1
4.5	13.9	1
5.7	13.1	1
4.2	21.6	1
4.7	11.6	1
5.7	7.7	1
5.5	11.6	1
4.4	22.3	1
3.8	18.5	1
4.2	10.8	1
5.8	17.7	1
5.6	17.7	1
11.5	19	2
13.4	15.4	2
15	13.9	2
9.2	19.3	2
12	17.7	2
8.9	10	2
4.9	9.2	2
13.3	22.3	2
4.4	5.8	2
15	19.3	2
8.9	21	2
5.1	12	3
13	12	3
8.9	14.4	3
1.8	12	3
4.9	16	3
3.6	7.2	3
1.4	7.2	3
2.5	5.6	3
2.7	6.4	3
5.5	13.6	3
5.4	13.6	3
4.2	12	3
4.6	5.6	3
3	9.6	3
7.1	16	3
5.2	10.4	3
3.3	13.6	3
2.9	8.8	3
9.6	16.8	3
4.5	12	3
4.7	13.6	3
5.6	14.4	3
2.9	14.4	3
4.6	16.8	3
9.5	11.2	3
3.9	8.8	3
1.8	19.2	4
3.3	19.4	4
5.9	19.2	4
4.8	22.9	4
4.4	16.3	4
2.3	26.6	4
5.1	15.4	4
7.9	15.4	4
3.5	22.2	4
3.7	16.7	4
7.1	9.2	5
2.7	7.7	5
9.2	11.6	5
4.2	8.5	5
4.4	8.5	5
6.3	10	5
4.3	13.1	5
.8	9.2	5
5.6	7.7	5
2.4	10	5
4.6	8.1	5
7.1	10	5
6	8.5	5
3	10	5
5.6	6.9	5
2.7	13.9	5
7.4	6.2	5
4.6	9.2	5
4.7	6.9	5
5.5	7.7	5
5.3	10	5
2.8	12.3	5
1.1	.	6
9.8	33.9	6
2.5	4.6	6
2.8	3.1	6
3.4	25.4	6
2.1	15.4	6
4.4	8.5	6
3	20.8	6
1.9	11.6	6
2.8	23.1	6
4	10.8	6
2.8	4.6	6
2.5	7.7	6
3.6	19.3	6
2.6	16.9	6
5.1	20	6
2.8	13.5	6
2.7	11.6	6
3.4	8.9	6
1.8	4.6	6
5.7	7.4	7
6.2	14.6	7
3.1	5.9	7
8.8	19.3	7
6.8	14.8	7
3.9	11.1	7
2.2	8.1	7
2.2	8.9	7
1.6	5.2	7
4.3	12.6	7
6.4	18.5	7
5.5	13.3	7
4.6	8.1	7
3.3	10	7
2.4	10.4	7
1.4	12.6	7
4	11.8	7
3	6.7	7
3.6	9.2	7
2.8	5.2	7
3.1	14.1	7
3.6	14.8	7
5.7	14.8	7
9.7	12.3	7
.8	2.3	8
4.8	11.6	8
3.8	7.7	8
8	12.3	8
3.1	6.9	8
3.1	12.7	8
1.8	4.6	8
4.8	13.1	8
2.4	10	8
3.2	11.2	8
4.3	4.4	8
5.3	11.6	8
2.7	3.9	8
6.3	22.3	8
2.4	7.7	8
5.1	11.6	8
3.4	7.7	8
3	10.8	8
3.2	5.4	8
